,degree
%100 Scholarship,4
The Master of Business Administration (MBA),4
Bachelor of Science - B.Sc,4
Makine Mühendisi,4
Master of Science (MSc) ,4
"MBA (course work only, thesis incomplete)",4
B.C,4
4.9,4
Oracle,4
Bilgisayar operatörlüğü ve teknikerliği,4
3.56,4
Tömer Ankara University International German Certificate B2+C2 Advanced Level Native Fluency ,4
"Bachelor's degree, Undergraduate Academic Degree",4
"2,61",4
Bilgisayar ve Teknoloji Yüksekokulu Mezunu,4
Data Analyst Nanodegree,4
Mühendislik Fakültesi - İngilizce,4
A2 german Language certificate,4
69.50,4
Erasmus exchange program ,4
"Yüksek Lisans (Master-3,25)",4
96,4
Graduate School,4
85 / 100,4
"84,64   ",4
lise ,4
2 Weeks Summer Program ,4
Dropped Out,4
Bachelor’s Degree (Drop Out),4
"2,74",4
bankacılık ve sigortacılık yüksekokulu,4
Full-Time Student,4
Department,4
"3,79",4
Msc Master of Science in Electrical& Electronics Engineering,4
Master of Computer Science,4
Anadolu Teknik,4
85 not ortalaması ile finalden muaf tamamladı.,4
software engineer,4
Global Network Program,4
Master of Business Administration   3.87/4.00 GPA,4
 Management Imformaiton Systems,4
Behavioral Science of Management,4
süper,4
Yüksek lisans / Master's degree,4
Research Assistant - Master of Science (MSc),4
3.sınıf terk (kişisel nedenden dolayı),4
Western Languages and Literature,4
Ön Lisans (derece ile),4
Italian language,4
Bachelor Degree of Science,4
2012-2013 Güz Dönemi Onur Öğrencisi,4
phd,4
İkinci Üniversite,4
"3,15",4
Bilgisayar Bilimci,4
Web Master,4
Çift Anadal,4
Industrial Electronics,4
Language Preparatory,4
4.41 of 5 Points,4
89.89 diploma notu ile 3. Sırada bitirdi.,4
3.38,4
Graduate certificate,4
"70,86",4
Selçuk Üniversitesi Karaman Meslekyüksek Okulu,4
Lisans Mezunu,4
Astronomi Bölümü Mezunu,4
Complete React Developer Course,4
"4,76",4
3.13/4,4
Kocaeli Üniversitesi Köseköy Meslekyüksek Okulu,4
"Master of Science - MS, Physics, 3.61/4.00",4
"Bachelor of Science - BS, Physics, 3.06/4.00",4
3.18/4.00,4
Master of Social Science,4
Master's degree (MSc),4
"Lisans, İkinci Anadal",4
"Lisans, Anadal",4
Bachelor's degree (BS),4
Electric-Electronic Engineer,4
Yüksek Lisans Fen Bilimleri Enstitüsü,4
Fen Fakültesi Bölümü,4
Under Graduate,4
"3,58",4
bachelor degree,4
4.90,4
2.67,4
2.52,4
Bachelor of Communication,4
Doctor of Pharmacy (Pharm.D.),4
edebiyat fakültesi,4
80% / 100%,4
Bachelor of Computer Science,4
Tezli Yüksek Lisans,4
Web Tasarımı ve Programlama,4
Institute of Science,4
Bachelor Degree of Engineering,4
"3,96",4
Onur Öğrencisi,4
"2,58",4
Non-Degree,4
3.2-4.0,4
Tourism Management,4
Electronics Engg.,4
Bachelor's degree (2nd Universty),4
Bachelor of Science - (BSc),4
"81,82/100",4
Lisans / Bachelor's degree,4
Master of Engineering Management,4
Ön lisans / Associate's degree,4
91/100,4
80 / 100,4
2009,4
Technology Faculty,4
A Levels,4
Postdoctoral Study,4
Systemic Change Design,4
Muhendislik Fakultesi,4
dropout,4
Master of Science in IT (M.I.T.),4
ERASMUS+,4
iktisadi ve idari bilimler fakültesi,4
3.54 / 4.00,4
"Master of Business Administration - Executive, MBA",4
Bachelor of Science in Economics- BSc(Econ),4
High School Education,4
Associate of Arts (AA),4
Primary - Secondary School,4
Germanistik,4
AA - 1.0,4
"Phd, Fen Bilimleri Enstitüsü",4
School of Applied Disciplines,4
Uluborlu SKMYO,4
Erasmus in Engineering,4
"Bachelor's degree, Double Major",4
3.82,4
graduated,4
3.76,4
B.Sc. EE.,4
Master of Science - Informatik,4
71.99,4
7/10,4
Elementary and Secondary School Diploma,4
4.4,4
2.64,4
The School Of Foreign Languages,4
Lise Diploması,4
Minor ,4
Lisans ( Açık Öğretim),4
fen,4
Bilgisayar Programcılığı mezunu,4
Computer Technologies and Programming,4
İzmir Meslek Yüksekokulu,4
Secondary School Degree,4
Computer Graphics MSc.,4
Technical Diploma,4
"Textile    Dye, Printing and Design ",4
EMBA,4
Masters Degree,4
Doctoral Researcher,4
Bachelor of Software Engineering,4
A2-B1,4
bachelor's level,4
2.23,4
Level 6 Certificate for ESL,4
Master of Arts - MA / Exchange,4
Middle School Diploma,4
Uygulamalı Teknoloji ve İşletmecilik Yüksekokulu,4
Teknik Bilimler Mezunu,4
BBA,4
CISSP,3
4.40,3
ĺisans,3
4.4/5,3
Sayisal,3
"3,04 / 4,00",3
BsC,3
Grafik Tasarım,3
İYİ,3
"3,0",3
#1,3
3.81,3
"2,79",3
on lisans,3
IT Institute,3
71.90,3
Anadolu lisesi mezunu,3
Bilişim Teknolojileri Alanı,3
2.85/4,3
 Business Analysis Methodology Modeling Techniques And Test Management ,3
Faculty of Chemical and Metallurgical Engineering,3
85.45,3
Hendek Meslek Yüksekokulu,3
Degree (Master),3
"2,89",3
Teknik Meslek Yüksek Okulu,3
Turkish Language Education Program,3
Master of Science - MSc.,3
2.,3
"3,20/4,00",3
2.75 / 4,3
Postgraduate English Preparation,3
Onur,3
"4,98/5",3
quit,3
elektrik elektronik fakültesi,3
Özel Öğrenci,3
Faculty of Management,3
"2,47",3
4.01,3
Köseköy Meslek Yüksek Okulu,3
Faculty of Science and Letters,3
9.37,3
Lise Derecesi,3
iOS Developer Nanodegree,3
Elektrik Elektronik Fakültesi Mezunu,3
Master of Engineering,3
TÖMER,3
3.71,3
Pedogojik Formasyon,3
Hong Kong Winter School,3
International Academy of Rome(IAR) Member of BAU GLOBAL,3
Senior,3
Faculty of Aeronautics and Astronautics,3
Minor Bachelor's degree,3
Elektrik Mühendisliği,3
Software Specialist,3
Computer Education and Instructional Technology,3
Makine Mühendisliği,3
Bölüm İkinciliği,3
4.20,3
3.87/4.00,3
Onur öğrencisi,3
Kocaeli Üniversitesi,3
 Bachelor of Science,3
Davetli Konuşmacı,3
Master of Public Administration (MPA),3
Meslek yüksek okulu,3
Innovation and Entrepreneurship,3
81,3
"2,72",3
Bilgisayar Bilişim Fakültesi,3
FM,3
Master of Science - M.Sc,3
"2,53",3
Bilişim Teknolojileri ,3
72/100,3
C1,3
Check Point Certified Security Expert,3
EQF level 5,3
Teknik eğitim fakültesi,3
"1st Place - GPA: 97,63",3
prep class,3
 Bachelor degree,3
"2,57",3
B.A,3
"3,67",3
4th,3
Kimya,3
Bc.S.,3
Bachelor’s Industrial Engineering,3
Uzaktan Eğitim,3
"3,11/4",3
Engineering faculty,3
2:80,3
Energy Systems Engineering - Double Major Program,3
EQF level 7,3
"3,57",3
Certification Programme,3
Phd. Computer Engineering,3
2.34,3
Preparation,3
Yazılım Mühendisliği,3
onlisans,3
2017 Mühendislik Fakültesi Giriş Sırası 1.'si,3
Nanodegree:Android Basics,3
Elektrik Elektronik Mühendisi,3
Foreign Language Education as a second Language,3
"3,23",3
2nd,3
5/5,3
BUYEM,3
Tunca MYO,3
Doctor of Philosophy (Ph.D.) - Abandoned,3
MIS,3
Açık Öğretim,3
Elektrik Elektronik,3
Full-stack Web Developer,3
83/100,3
2.22,3
2.60/4,3
License Degree,3
Faculty of Business and Economics,3
Şeref Öğrencisi,3
4.8,3
Doctor of Philosophy - PhD(Integrated),3
Lise mezunu,3
88,3
Bachelor of Engineering (B.Eng),3
Chemical Engineer Bsc,3
2.46,3
Bilişim Teknolojileri Mezunu,3
PhD. in Analytical Chemistry,3
Farabi Student Exchange Program,3
Fen Bilimleri Mezunu,3
Msc.Process and Reactor Design,3
"3,10",3
Sakarya Meslek Yüksekokulu,3
"2,51",3
Senirkent MYO,3
Vocational School (Pre-license),3
3.01/4.00,3
"3,32",3
student,3
Training,3
2.60/4.00,3
3.06/4.00,3
Anadolu Teknik Mezuniyeti,3
The Highest Degree for Four Terms,3
"Bachelor's degree, Exchange Student",3
60,3
Bilgisayar Öğretmeni,3
mühendislik mimarlık fakültesi,3
Volunteer Project Student,3
"2,99",3
Phd Student,3
Master's degree science,3
"2,91",3
3rd,3
Mimarlık Mühendislik Fakültesi,3
M.s. Engineering Management,3
Elektronik ve Haberleşme Mühendisliği,3
"B.s., Electric and Electronic Eng.",3
PH.D.,3
"2,59",3
İktisadi ve İdari Bilimler,3
"3,35",3
Erasmus+ Exchange Student,3
Bilgisayar ve Bilişim Fakültesi Bilgisayar Mühendisliği,3
Fen Fakültesi Matematik Bölümü,3
Alumni,3
Kimyager,3
"3,17/4",3
"3,73",3
74/100,3
İngilizce,3
EQF level 6,3
System Solution Expert,3
بكالوريوس التجارة,3
Electrical & Electronics Engineering,3
Doctor of Education (Ed.D.),3
3.11 / 4.00,3
önlisans ,3
2.53,3
Muhendislik Mimarlik Fakultesi,3
4.88/5.00,3
3.46/4,3
3.53,3
Yüksek Okul,3
Fen-Matematik,3
3rd degree,3
Excellent,3
4.SINIF,3
77 / 100,3
70/100,3
Laboratory and R&D Job Training Program,3
"Bachelor's degree, Computer Engineering",3
Business English,3
AOF,3
Exchange MSc Student,3
Software Development,3
Master's Degree (MSc),3
Бакалавр,3
Mühendislik Fakültesi Mezun,3
(Önlisans),3
77/100,3
6,3
Occupational Safety Specialist (İş Güvenliği Uzmanı),3
Bachelor of Tourism Management,3
Cisco Certified Network Administrator,3
3.55/4.00,3
Certificate of Completion,3
2.98/4,3
teknik eğitim fakültesi,3
Computer engineering,3
Not graduaded,3
"3,56",3
Bac,3
4.67,3
3.80 / 4.00,3
High Honors,3
3.06/4,3
(%100 scholarship),3
Pekiyi,3
Ön-lisans,3
"3,18",3
Bachelor of Science (BS) ,3
58,3
Farabi Exchange Student (Lisans),3
 License,3
Master of IT,3
CTIS,3
Master of Science (M.Sc),3
Bachelor of Science (BSc) - Not graduate,3
İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,3
Bachelor of Science Computer Science - BS(CS),3
Master of Artificial Intelligence,3
4.92/5.00,3
integrated BS&MS,3
5.00 / 4.08,3
Endüstri Mühendisliği,3
Technical Education Faculty,3
Bachelor of Science - B.S.,3
"4,72",3
Associate's,3
4.41 from 5 ,3
Software developer,3
2.41,3
Industrial Engineer,3
Master's degree.,3
Onur Belgesi,3
Bölüm Birincisi,3
Front End Web Development,3
LaunchX Summer School,3
Bahçeşehir FenTek ,3
Faculty of Electrical and Electronics Engineering,3
Prep Class,3
Sayısal Bölümü,3
"3,08",3
Bachelor of science,3
English Prep School,3
BİLGİSAYAR PROĞRAMCILIĞI,3
Mechatronics Engineering,3
Bachelor of Education,3
2.30,3
psychology,3
Communication Design ,3
Game Design,3
Bachelor of Engineering - BE (Honoured),3
Ön,3
Associate degree ,3
"4,19/5",3
Adapazarı Meslek Yüksek Okulu,3
Bachelor degree ,3
2.10,3
4.30,3
Bilişim,3
egitim programi,3
Ticaret Meslek Lisesi Mezunu,3
Electronics and Communication Engineering,3
Devam,3
"2,29",3
Prep,3
Bachelor of Engineering - BE ,3
Master's degree - Film & Television,3
Computer and Information Science Faculty,3
68,3
Veri Tabanı Programcılığı,3
Exchange student,3
"2,8",3
Certified Accountant,3
certification,3
The School of Foreign Languages,3
3.59,3
Bcs,3
Sayısal Bölüm Mezunu,3
3.84,3
1.lik,3
Master of Computer Applications,3
Makine,3
MFA,3
 Master of Science - MS ,3
Full Scholarship,3
Mobile Web Specialist Nanodegree,3
YÜKSEK LİSANS,3
Bachelor of Science(BS),3
3.69/4.00,3
"3,4/4",3
"Üstün Başarı, PMI® - PMP®",3
Başarı Sertifikası,3
4.93,3
Bachelor of Science - B.Sc.,3
Matematik-Fen,3
MF,3
in progress,3
MSc. Mekatronik Mühendisliği,3
vocational high school,3
School of Advanced Vocational Studies,3
90/100,3
Class of Foreign Languages,3
Bilimsel Hazırlık,3
Chemical Engineer,3
Bilişim Teknolojileri Bölümü,3
İş Sağlığı ve Güvenliği,3
EN ISO 9712 Qualification Certificate,3
Associate Degree ,3
Graduated as the top of honour list,3
4.95,3
"4,74",3
3.05 / 4,3
Certificate of Expertise,3
BS Computer Engineering,3
"4,27",3
"Engineer's degree, Mechanical Engineering",3
"Master of Engineering (M.Eng.), Thermodynamics",3
Certified BrewMaster Course (6 Months),3
Faculty of Computer and Information Sciences,3
BEng,3
Mini MBA Program,3
Makina Fakültesi Mezunu (BS),3
"2,52",3
"3,38",2
Mathematical Engineering,2
TEKNİKERLİK,2
Farabi,2
4.sınıf (Lisans),2
Yabancı Diiler Okulu,2
Boğaziçi University,2
Bilgisayar Mühendiliği Öğrenci(Lisans),2
İKTİSADİ VE İDARİ İŞLER FAKÜLTESİ,2
Erasmus+ Exchange Programme,2
İdari ve İktisadi Bilimler Fakültesi,2
Graduation Grade; 2,2
Yüksek Lisans (MSc),2
Graduated With Honor,2
"Minor, Yandal",2
"2,98",2
Lisans Derecesi(BSc),2
Kimya ve Metalurji Fakültesi,2
Makine Fakültesi,2
ELEKTRONİK VE HABERLEŞME MÜHENDİSLİĞİ,2
Bilgisayar ve Öğretim Teknolojileri Eğitimi,2
"4,82/5",2
"3,75/4",2
Bachelor's degree 3.45 / 4.00,2
Anadolu Meslek Lisesi Mezunu,2
Endüstri Mühendisliği Bölümü,2
İKTİSADİ VE İDARİ BÖLÜMLER FAKÜLTESİ,2
PhD (Dr.),2
TEACHING ASSISTANT CERTIFICATE IN FOREIGN LANG TEACHING,2
Dipl.Ing,2
Doctor (PhD),2
PhD / Drop out,2
Management Engineer,2
(82),2
Graduated with first degree,2
Advanced Level,2
Minor's Degree,2
84.4,2
Master's degree 3.70 / 4.00,2
Bilgisayar Teknolojisi & Programlama,2
"3.50, Nanoscience and Nanoengineering",2
M. S.,2
"3,37",2
BA in English Language Teaching,2
Fen Fakültei,2
Bechalor,2
Veritabanı Programcılığı,2
2.57/4,2
High school education,2
"4,28",2
Phc,2
"Okul Birincisi, Fen Bilimleri",2
Fen Bilimleri Enstitisü,2
"3,49",2
fen edebiyat fakültesi,2
Fen bölümü mezunu,2
ADAMYO,2
BİLİŞİM TEKNOLOJİLERİ,2
Bachelor Student,2
Teknik Bilimler Meslek Yüksek Okulu Mezunu,2
Elektrik Elektronik Fakültesi Mezun,2
Bilgisayar programcılığı,2
Anatolian Highschool Diploma,2
Merit,2
Bilgisayar Bilimleri Fakültesi,2
Fen Edebiyat Fakültesi - Fizik Bölümü,2
English Preparatory Program,2
Muhendislik Fakültesi,2
Elektrik-Elektronik Muhendisi,2
MSc ,2
"4,93",2
"2,0",2
German,2
ASSOCIATE PROGRAM,2
70.49/100,2
"2,73",2
"2,70",2
4 / 3.47,2
Software Engineer,2
"Master of Computer Science degree candidate; anticipated completion June, 2022",2
yok,2
Department of Technology,2
Pre MBA,2
A.S.,2
3.02/4.00,2
International Summer School,2
React Developer,2
Foreign Language Education,2
vocational school,2
Bachelor of Business,2
Onur Mezunu,2
LYS,2
Open and Distance Education Faculty,2
Mühendislik Fakültesi Mezunu (3.24 - 4.00),2
Doctor of Philosophy - PhD (leave),2
MS with Thesis,2
AA,2
The Fourth High School,2
"2,64",2
Social Sciences Institute,2
Masters in Management,2
Master of Science - Ms,2
engineering faculty,2
92.75,2
Self Driving Car Engineer,2
3.97/4,2
Phd Taught Courses,2
ilk öğretim,2
4.27,2
Mathematician,2
B.Sc. Industrial Engineering,2
International Management,2
Mekatronik Mühendisliği Bölüm Birinciliği ,2
M.Sc. Finance,2
IT Certificate Program,2
4.84/5,2
2.70/4,2
2.74/4,2
Bachelor's degree (Postponed),2
Executive Leadership Program,2
Master of Business Administration with Thesis (MBA),2
Computer Education and Educational Technology,2
Adnan Menderes Anadolu Lisesi Mezunu,2
Üniversite Derecesi,2
3.89,2
Visionary Leadership Program,2
Global Leadership Program,2
Antropoloji,2
Electronic,2
International Student,2
Associate of Science,2
"MSc, Computer Engineering",2
"BS, Computer and Control Systems ",2
Yabancı Dil Ağırlıklı,2
Honors Diploma,2
postgradute,2
Şuan Okuyorum,2
"B. Sc., Electrical and Electronics Engineering",2
"M.Sc., Mechanical Engineering",2
Çevre Mühendisliği-Öğrenci,2
Certificate program,2
Graduation as 1st  Honor,2
"7,74 / 10,00",2
Master of Business Administration - Executive MBA,2
iktisat fakültesi,2
Electronic and Telecommunication Engineering Department,2
BA ,2
Jeofizik Mühendisliği,2
"2,36",2
Köseköy MYO,2
Tenik Eğitim Fakültesi,2
2.00,2
3.42,2
2.40/4.00,2
Lisence: computer network engineer,2
Bachelor of Engineering - BE Outstanding Scholarship (%100),2
Adilcevaz Meslek Yüksek Okulu,2
Master: Service and Security in Networking,2
B2 Diploması,2
Yabancı Dille Eğitim Veren Liseler,2
Language Certificate,2
2.89/4,2
"3,30",2
Yüksek Lisans (Master) Elektronik ve Haberleşme Mühendisliği,2
ENGINEER,2
"4,63/5,00",2
"4,95",2
3.61,2
Faculty of Electrical and Electronics,2
4.58,2
Master of Arts -MA,2
PEDAGOJİK FORMASYON,2
Faculty of Information Technology,2
Bachelors level,2
2.8/4,2
Incomplete,2
İntermediate,2
Ortaögretim,2
"3,80/5,00",2
"3,50/4,00",2
Ĺisans,2
Transfer to istanbul Unversity,2
ELEKTRONIK VE HABERLEŞME MÜH.,2
"3,22",2
Yönetim Bilşim Sistemleri,2
"Bachelor's degree, 2.94/4",2
3.02 / 4,2
Matematik Mühendisliği,2
4.05/5,2
"Master of Business Administration -3,75",2
Advanced Android Developer Nanodegree,2
Cloud Developer using Microsoft Azure,2
Bachelor's degree - Open Education Faculty,2
" Bachelor's degree, Interior Architecture and Environmental Design",2
"Master's degree, Interior Architecture",2
3.64/4.00,2
American Language Center English Certificate Program,2
"BASc, Telecommunications Technology/Technician",2
Doctor of Philosophy - PhD (Working),2
4.39 / 5.00,2
Upper Intermediate level,2
3.11/4,2
KOCAELİ MESLEK YÜKSEK OKULU,2
Master (MSc),2
SABANCI ANADOLU TEKNİK LİSESİ,2
Okul 3.sü,2
3.01/4,2
Erasmus exchange,2
Sosyal Bilimler,2
Farabi Exchange,2
Bachelor of Veterinary Medicine,2
"React Nanodegree, Web and Mobile Application Development",2
87.33/100,2
FC degree,2
"Doctor of Philosophy (Ph.D., Dr.-Ing.)",2
Mühendislik ve Mümarlık Fakültesi,2
BD,2
Lise / High School,2
Fen-Edebiyat Fakultesi Mezunu,2
"3,5/5",2
Beykent University,2
4.95/5.00,2
Bil,2
"4,2",2
Istanbul University,2
"3,45",2
4.sinif,2
Anadolu Üniversitesi,2
İstanbul Üniversitesi,2
B.S. degree,2
MSc degree,2
3.20/4.00,2
new media,2
Electric & Electronic Faculty,2
Secondary School Diploma,2
School of Vocational Studies,2
DOCTORATE,2
Informatik,2
72/100  2.35/4.00,2
4.44 / 5,2
Programcılık,2
2. sınıf,2
Lisans Derecesi(Erasmus),2
Feza Gürsey Institute,2
"2,90/4,00",2
"3,25/4,00",2
"Eğitim Fakültesi Mezunu, Eğitim Teknoloğu, BT Öğretmeni",2
Undergrad Degree,2
3.2 / 4,2
"3,53",2
HighSchool,2
87/100,2
Bölüm 1.si (3.33),2
Becholer Degree,2
"Bachelor of Science (BS), Chemistry",2
Double Major Program,2
Chemical Engineering,2
LİS,2
Yüksekokul (Vocational High School),2
Current,2
Computer Engineering Faculty,2
"MBA,Master of Business Administration",2
Bachelor's degree 3.26,2
Bachelor's degree 3.36,2
4.92,2
UZEM,2
Android Developer Nanodegree,2
"3,63",2
High-School Graduate,2
Adapazarı Meslek Yüksel Okulu Uzaktan Eğitin,2
"3,49/4",2
Bilgisayar ve Bilişim Bilimleri Fakultesi,2
Kaplan Aspects,2
"Bachelor's Degree, Double Major",2
advance,2
upper intermediate,2
mspd,2
Information System Engineer,2
Computer Programmer - CP,2
Faculty of Arts and Sciences,2
Vocational School of Technical Sciences ,2
Bachelor of,2
Endüstri lise,2
2.97/4,2
Bilişim Teklonojileri,2
4.25/5,2
iibf,2
"3,17",2
"3.22/4, Lisans (BSc)",2
Summer Program,2
Advance Vocational School,2
92/100,2
Yabancı Dil Ağırlıklı Lise Mezunu,2
"3,4",2
Teknik Bilimler M.Y.O.,2
68.92,2
"İşletme Fakültesi, MYO Mezunu",2
3.06 bölüm birincisi,2
"4,91 / 5",2
Otomotiv Öğretmenliği,2
 Associate degree ,2
Doctor of Philosophy (Ph.D.) (Not finished),2
3.92 / 4,2
Exchange Studies,2
Science Institiue; Msc; Bsc; Bsc,2
Engineering Department,2
başarılı olarak bitirdim,2
erasmus,2
Bilgisayar Yüksek Mühendisi,2
4.84,2
Elektrik - Elektronik Fakültesi,2
Bachelor of Arts and Science,2
3.25-4,2
2. 56,2
3.5 -4,2
Bachelor of Microbiology,2
Mühendislik-Mimarlık,2
3.0/4.0,2
"Undergraduate, B.Sc.",2
"Graduate, M.Sc.",2
Moda Tasarımı,2
Mcse,2
Passed,2
83.3,2
"2,6",2
Information Systems Engineering,2
"Bachelor of Science (BS), Electrical and Electronics Engineering, GPA 4.00",2
3.25/4.00,2
73.2,2
Yüksek İstatistikçi,2
Department of Economics,2
Bachelor's degree in Travel Management,2
sem,2
3.80 Bachelor's degree,2
2.24,2
Endüstriyel Sanatlar Eğitim Fakültesi mezunu,2
Associate Degree Program,2
Iso 9001:2015 Baş Denetçi,2
Undergraduate Program,2
87.75/100,2
3.03/4,2
93/100,2
Teknik lise,2
Baş Denetçilik,2
İç Denetçi,2
Tıp Fakültesi,2
3.31 / 4.00 (Honor List),2
UX Designer Nanodegree Program,2
Korean Language School,2
Sınıf 3.lüğü,2
İktisadi ve İdari Bilimler Fakültesi Mezunu,2
mühendislik mimarlık fakültesi mezunu,2
1st degree,2
Master of Science (M. Sc.),2
Bachelor of Marine Engineering,2
Ege University,2
Special Student Status,2
"4,5/5",2
Elektrik Yüksek Mühendisi,2
Scholarship,2
degree,2
"Bachelor's degree, High Honor Student",2
Master of Science - M. Sc.,2
Fen Bilimleri Enstütüsü,2
4.56,2
Upper İntermediate,2
Double Majors,2
Emel Akın MYO,2
environmental sciences,2
Çift Anadal Programı,2
Chemical & Metallurgical Engineering Faculty,2
Birincilik Ödülü,2
MSC,2
"GPA 3,33",2
Post Graduate Certificate,2
B.A.Sc. Undergraduate Degree,2
"Master's degree, Electrical and Electronics Engineering",2
2.98 / 4,2
89.44/100,2
"MSc, Econometrics",2
"Lisans, Erasmus",2
MSD,2
Kontrol ve Bilgisayar Mühendisliği Mezunu,2
HSD,2
"Lisans, Çift Anadal",2
"Master of Science (MSc), Mak. Dinamiği, Titreşim&Akustiği",2
"•	Universiad Azteca Doctor of Philosophy in Business Administration , PhD (ID : 161AS19D0316)",2
Faculty of Chemical and Metallurgical Engineering ,2
Internet Technologies and Computer Programming Certificate Program,2
"2,44",2
Intermediate Level,2
Faculty of Engineering and Computer Science,2
3.44/4.00 Master of Science (MSc),2
3.38/4.00 Bachelor's Degree,2
Project Management,2
1. lik,2
Doctor of Philosophy (Ph.D.) in Business Administration,2
"London , The UK",2
Yabancı Dil ,2
Commercial Sciences Institute,2
MsC,2
Phd Candidate,2
"Executive Education, Management Program",2
Gazi Üniversitesi,2
"M.Sc., Computer Engineering",2
"B.Sc., Computer Science And Engineering",2
ELECTRIC-ELECTRONICS FACULTY,2
18,2
SCIENCE INSTITUTE,2
91.87,2
Bachelor's Degree (B.Sc),2
Master's Degree (M.Sc),2
Elektrik-Elektronik Mühendisliği Fakültesi,2
Baclehor's Degree,2
4.80,2
"90,33",2
"88,65",2
3.18/4,2
Dip,2
4.88/5,2
"4,60",2
Düz Lise,2
Highschool Diploma,2
Master of Science in Engineering Management - MSEM,2
"Computer Engineering , I.T.U",2
Doctor of Philosophy (PhD.) Candidate,2
Business English ,2
pHD,2
3rd Graduation-Degree,2
Professional Master's Degree,2
Foreign Trade,2
having degree of; second rank in engineering faculty,2
3.56 Yüksek Lisans (Master),2
Elektronik Teknikeri,2
 3.35 Lisans Derecesi,2
Undergraduate Research Student,2
Professional Masters' Degree in IT,2
Equivelant of Bachelor's Degree ,2
Pre-Advanced Level,2
Doctor of Philosophy (Ph.D.) (c),2
Bachelor of Arts (Hons.) ,2
"3,43 / 5",2
2.15/4,2
2.72/4 Çift Anadal / Lisans Derecesi,2
3.16/4 Lisans Derecesi,2
BOOST Yıldız Yazılımcı Yetiştirme Programı,2
Bachelor of Architecture (B.Arch.) Erasmus + (7th Semister),2
French Language Program,2
Food Engineering,2
 Faculty of Aeronautics and Astronautics,2
Teknik Eğitim Fak.,2
"2,54 / 4,00",2
Mechanical Engineering,2
Master of Science- MSc,2
Master of Engineering (MSc),2
Manufacturing Engineering,2
First Degree,2
Bachelor of Science(BSc),2
PMP,2
faculty of engineering,2
"4,32",2
"4,96/5",2
"3,72 / 4,00",2
High School degree in Science,2
76.5/100,2
4.7/5,2
Bachleor Degree,2
92.38,2
3.96,2
369,2
Doktora/PhD,2
M.Sci.,2
Full-Stack Web Developer ,2
FSc,2
"Ortaöğretim, 96,41/100",2
4.98,2
Computer Eng.(Msc),2
PhD candidate,2
School of Engineering Sciences,2
Honour Degree,2
3.46(Bölüm 2.liği),2
First rank,2
MsE,2
"2,47 / 4,00",2
High School - Deutsche Auslandsschule,2
Elektrik-Elektronik fakültesi,2
Telekomünikasyon Mühendisliği Bölümü Mezunu,2
CIMA,2
Mini Mba,2
Course Attendee,2
2.06,2
(MBA),2
Master of Science  (M.Sc.),2
"3,83 / 4.00",2
High Honour Degree,2
3.73 / 4.00,2
Highest Ranked Student,2
4.87,2
Undergraduate degree,2
Kurum Özel Eğitim,2
Master's Degree ,2
"83.17 , Okul 1.si ",2
"Mühendislik ve Fen Bilimleri Enstitüsü, Bilgisayar Mühendisliği Yüksek Lisans (İngilizce)",2
Advanced Master (M.A.S.),2
MSc.  Data Engineering,2
Teknik Programlar Meslek Yüksekokulu,2
Faculty of Business,2
Master of Science in Engineering,2
Fen ve Edebiyat Fakültesi mezunu,2
Graduate Student,2
4.5/5,2
drop out,2
"Bachelor's degree 3.43/4.0 ,2nd place ",2
4.86,2
Yüksek Onur Öğrencisi,2
Success,2
4rd grade,2
4.85,2
Bilgisayar Bilişim Fakültesi Mezunu,2
non,2
Science & Literature Faculty,2
3.10 / 4.00,2
Associate of Law ,2
Highest ranked student,2
Technical Science Vocational School,2
15,2
Institute Of Natural Sciences,2
Bachelor’s Degree %100 English,2
"3,13/4",2
3.48/4,2
High-School Graduate ,2
Sound Engineering,2
İktisat Mezunu,2
Öğrenci ,2
Adana MYO,2
Computational Linguistics & Computer Science,2
Faculty of science and letters,2
Bachelor's degree %100 English,2
computer engineering,2
Ortaöğretim(lise),2
Intermatide,2
Upper Intermatide,2
Bachelor of Science (M.S.),2
Satış Yönetimi,2
2.1,2
not graduated,2
"3,53 (89,3)",2
"Bashelor of Computer Programming / Programmer, General",2
CCNA Certified Education,2
Programcı,2
iktisadi bilimler fak.,2
Electronics (Student),2
Introduction to Cybersecurity,2
Mühendislik mimarlık fakültesi,2
FenBilimleri Enstitüsü,2
BSc: Bachelor of Science,2
Iktisat Fakültesi Mezunu,2
Mobility Fundamentals,2
Bachelor's degree / Lisans,2
Bütünleşik Doktora,2
Teknik Bilimler Meslek Yüksek Okulu (Önlisans),2
"Bachelor of Engineering (B.E.), Computer Engineering",2
English Preparatory Course,2
bilgisayar mühendisliği ,2
bilişim teknolojisi,2
Formasyon Egitimi,2
Bölüm 1.si,2
Bölüm 3.sü ,2
"BEc, Economics",2
Keçiborlu MYO,2
Baccalauréat,2
Associate Degree Local Government Management,2
2.97/4.0,2
3.29 / 4.00,2
Operation,2
4.76 / 5.0,2
Nanodegre,2
Adli Bilişim Mühendisliği,2
"Lisans Derecesi,Bachelor's Degree",2
Pedaolojik Formasyon,2
"78,01",2
Android Development,2
3.28/4,2
8.81,2
Yüksek Lisans - Fen Bilimleri Enstitüsü,2
Çin dili ve edebiyatı,2
"3,01/4",2
2-day d-camp,2
